"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /v1/faces/userlogotags?mySoulId=0",14640,95,110,120,140,1000,1000,1100,1100,1200
"Total",14640,95,110,120,140,1000,1000,1100,1100,1200
